sampled_at,point_1_latitude,point_1_longitude,point_2_latitude,point_2_longitude,departure_time,duration_driving,duration_transit,fare_value,fare_currency
1601423723,37.718712108347084,-122.40837607941062,37.75388594971332,-122.38041798241947,1601168430,689,2592,3,USD
1601423723,37.779221633497166,-122.50047829253074,37.77702438556859,-122.48124764635426,1601121762,305,1735,3,USD
1601423724,37.743015032443445,-122.4485666421635,37.78141934548674,-122.43538677702081,1601216863,910,2393,3,USD
1601423724,37.73663913444405,-122.48758569679273,37.80030087034954,-122.43325689526262,1601202271,1305,4302,3,USD
1601423724,37.70930164753704,-122.41610375938991,37.72298266777758,-122.43310953071442,1601137070,356,1826,3,USD
1601423725,37.72875867248077,-122.36808880384717,37.76027607749656,-122.41863115995956,1601183869,917,3201,3,USD
1601423726,37.744729357093306,-122.47693182992252,37.77693252384311,-122.49468372026526,1601321037,566,2522,3,USD
1601423726,37.77421514165141,-122.47867000951044,37.72683674653893,-122.36833761410051,1601242806,1420,4717,3,USD
1601423726,37.739819663131904,-122.40379619874767,37.73537731583609,-122.40829616462342,1601121815,358,653,,
1601423726,37.7127514812914,-122.46681008348088,37.72713808171645,-122.37809871394039,1601147905,875,4215,3,USD
1601423727,37.73569285113289,-122.42254940158395,37.80004590241524,-122.40875088036552,1601267732,1072,3519,3,USD
1601423727,37.775990145068924,-122.41240746895896,37.78607926099773,-122.50568081540906,1601350771,1422,4801,3,USD
1601423728,37.750796858342504,-122.41897690803219,37.802807101600344,-122.47699131368894,1601314077,1477,3481,7.35,USD
1601423728,37.73150017659795,-122.40045809531603,37.729571282542636,-122.42992361769883,1601268522,472,1927,3,USD
1601423729,37.78340674303905,-122.504867431984,37.77523985352034,-122.44928902097222,1601115212,818,7474,3,USD
1601423729,37.78426183151478,-122.47053085422618,37.74422038041794,-122.41071205358138,1601325952,1192,3736,8.6,USD
1601423729,37.742337737662076,-122.48857761111897,37.728913726657076,-122.39897102143769,1601169517,1141,3284,3,USD
1601423730,37.770993240562916,-122.40894770033526,37.7517802475335,-122.40048621580786,1601331823,538,1310,3,USD
1601423730,37.79818167167946,-122.4165069275223,37.756026420081,-122.39649876224767,1601199037,1091,3163,3,USD
1601423731,37.730219640699815,-122.4768464179608,37.77300439336092,-122.47112202719416,1601202698,731,998,3,USD
1601423731,37.78202805735126,-122.48319251300634,37.71139565064675,-122.43288210644327,1601131062,1483,4140,3,USD
1601423731,37.74099012328682,-122.45247059614627,37.79961276344361,-122.41971303305398,1601297511,1318,4359,3,USD
1601423732,37.74634339710533,-122.47809678037478,37.740530047817366,-122.4352508815712,1601246028,736,3130,3,USD
1601423732,37.726483102560586,-122.47821289581353,37.74069944185075,-122.39309105123073,1601273430,783,4273,3,USD
1601423732,37.73141651974675,-122.43101440894499,37.79449865448153,-122.46462505764286,1601127752,1472,3818,3,USD
1601423733,37.77112689126865,-122.45698138610283,37.751786140926725,-122.38622300953429,1601336664,1079,4128,3,USD
1601423733,37.710183872998456,-122.39936628156063,37.77512615540026,-122.41288765243715,1601288243,618,2746,3,USD
